epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,616.843,1.22188,0.7826,0.98917,0.86046,0.84091,0.87449,0.46488,1.57585,0.80762,1.16369,0.0011684,0.0011684,0.0011684
44,629.968,1.2222,0.75172,0.98432,0.89045,0.79545,0.87541,0.50524,1.45179,0.85947,1.09216,0.0011486,0.0011486,0.0011486
45,643.055,1.23359,0.7621,0.9772,0.8765,0.82955,0.8725,0.48688,1.52077,0.85962,1.13507,0.0011288,0.0011288,0.0011288
46,656.326,1.21366,0.78082,0.97775,0.84732,0.81988,0.87771,0.49961,1.39891,0.82751,1.05912,0.001109,0.001109,0.001109
47,669.342,1.20078,0.75985,0.98373,0.85145,0.79545,0.87817,0.49541,1.47496,0.87548,1.11044,0.0010892,0.0010892,0.0010892
48,682.414,1.20518,0.76293,0.97943,0.86775,0.81818,0.89873,0.49914,1.49863,0.7799,1.10446,0.0010694,0.0010694,0.0010694
49,695.487,1.17652,0.73217,0.96536,0.9836,0.68155,0.86792,0.5056,1.43689,0.78716,1.10309,0.0010496,0.0010496,0.0010496
50,708.408,1.22267,0.77248,0.979,0.87575,0.81818,0.89984,0.49592,1.53544,0.7492,1.14018,0.0010298,0.0010298,0.0010298
51,721.34,1.18532,0.74788,0.9655,0.88142,0.82955,0.87388,0.48977,1.50599,0.77716,1.12567,0.00101,0.00101,0.00101
52,734.497,1.19995,0.71222,0.97519,0.92084,0.79314,0.90911,0.52807,1.45707,0.77662,1.09304,0.0009902,0.0009902,0.0009902
53,747.366,1.17095,0.74497,0.96295,0.9355,0.79545,0.9195,0.49787,1.51183,0.77448,1.11845,0.0009704,0.0009704,0.0009704
54,760.641,1.17827,0.74674,0.97416,0.88037,0.86364,0.92562,0.57291,1.29648,0.70616,1.01416,0.0009506,0.0009506,0.0009506
55,773.835,1.17787,0.72364,0.95308,0.86724,0.81656,0.88151,0.50791,1.40665,0.74096,1.06232,0.0009308,0.0009308,0.0009308
56,786.99,1.17911,0.74352,0.96708,0.91341,0.83907,0.91475,0.51212,1.54353,0.73994,1.1483,0.000911,0.000911,0.000911
57,800.156,1.18185,0.72622,0.96934,0.7906,0.84091,0.86338,0.51261,1.46945,0.82608,1.11239,0.0008912,0.0008912,0.0008912
58,813.377,1.19711,0.7106,0.9709,0.87822,0.82955,0.88836,0.54748,1.32731,0.76558,1.03363,0.0008714,0.0008714,0.0008714
59,826.387,1.15668,0.70921,0.97051,0.92753,0.85227,0.93526,0.56625,1.3145,0.68222,1.0248,0.0008516,0.0008516,0.0008516
60,839.625,1.17141,0.71065,0.95918,0.91489,0.81818,0.92001,0.56521,1.3452,0.72462,1.04292,0.0008318,0.0008318,0.0008318
61,852.771,1.1784,0.73197,0.96819,0.93552,0.82439,0.91492,0.58056,1.28297,0.718,1.02825,0.000812,0.000812,0.000812
62,865.868,1.1877,0.73793,0.94796,0.93474,0.81391,0.90004,0.51121,1.4825,0.72513,1.10323,0.0007922,0.0007922,0.0007922
63,879.079,1.16384,0.73121,0.963,0.88206,0.86364,0.91948,0.51036,1.56831,0.75826,1.14673,0.0007724,0.0007724,0.0007724
64,892.252,1.13196,0.70886,0.93464,0.93788,0.85781,0.9182,0.51325,1.48912,0.73334,1.12096,0.0007526,0.0007526,0.0007526
65,905.454,1.15556,0.70139,0.95956,0.88454,0.87061,0.92604,0.5346,1.42642,0.70885,1.09307,0.0007328,0.0007328,0.0007328
66,918.512,1.1645,0.69648,0.95021,0.92575,0.85227,0.92774,0.50043,1.49294,0.74491,1.12551,0.000713,0.000713,0.000713
67,931.684,1.14907,0.68309,0.95759,0.87085,0.84091,0.91917,0.55699,1.36506,0.69197,1.05943,0.0006932,0.0006932,0.0006932
68,944.996,1.13806,0.6724,0.9454,0.91149,0.86364,0.93071,0.57845,1.34349,0.68742,1.04342,0.0006734,0.0006734,0.0006734
69,958.048,1.13392,0.67482,0.95194,0.8869,0.85227,0.92151,0.57025,1.32603,0.71161,1.02031,0.0006536,0.0006536,0.0006536
70,971.339,1.12114,0.68332,0.93122,0.96089,0.8375,0.93534,0.54807,1.42113,0.69856,1.06836,0.0006338,0.0006338,0.0006338
71,984.647,1.14751,0.65748,0.95263,0.92442,0.875,0.92252,0.54868,1.37828,0.69515,1.04716,0.000614,0.000614,0.000614
72,997.928,1.15209,0.68328,0.95468,0.88712,0.88636,0.94304,0.5287,1.49388,0.70595,1.10012,0.0005942,0.0005942,0.0005942
73,1010.94,1.12471,0.6765,0.94055,0.89775,0.85227,0.93168,0.52526,1.42197,0.70734,1.07255,0.0005744,0.0005744,0.0005744
74,1025.34,1.09867,0.63282,0.94165,0.91498,0.82955,0.91716,0.55745,1.36939,0.71018,1.03879,0.0005546,0.0005546,0.0005546
75,1039.12,1.13094,0.67986,0.95844,0.85439,0.86682,0.91887,0.5477,1.40574,0.72808,1.07015,0.0005348,0.0005348,0.0005348
76,1052.25,1.12828,0.65765,0.95035,0.94045,0.89729,0.93916,0.53984,1.36133,0.68078,1.03719,0.000515,0.000515,0.000515
77,1065.59,1.10014,0.64901,0.93738,0.90847,0.86364,0.93725,0.5775,1.29724,0.64951,1.02105,0.0004952,0.0004952,0.0004952
78,1078.86,1.13799,0.6568,0.94796,0.94432,0.84091,0.94174,0.54864,1.37912,0.67755,1.06435,0.0004754,0.0004754,0.0004754
79,1092.47,1.12261,0.6474,0.95302,0.89645,0.88543,0.94129,0.54056,1.42115,0.68565,1.09368,0.0004556,0.0004556,0.0004556
80,1105.71,1.08806,0.62694,0.93421,0.92332,0.88636,0.93489,0.57436,1.35016,0.66146,1.03772,0.0004358,0.0004358,0.0004358
81,1118.94,1.09926,0.63082,0.93242,0.90742,0.89107,0.93872,0.58613,1.28685,0.67732,1.01175,0.000416,0.000416,0.000416
82,1132.33,1.0828,0.62381,0.93544,0.91763,0.88636,0.93828,0.59958,1.26005,0.64556,0.99226,0.0003962,0.0003962,0.0003962
83,1145.65,1.07542,0.63308,0.93497,0.96119,0.81818,0.93871,0.55732,1.34169,0.66666,1.04802,0.0003764,0.0003764,0.0003764
84,1158.75,1.07511,0.61305,0.93852,0.92709,0.84091,0.93442,0.56565,1.35389,0.67473,1.03878,0.0003566,0.0003566,0.0003566
85,1171.97,1.07406,0.61204,0.91576,0.89465,0.89773,0.94024,0.58716,1.28162,0.65191,1.00993,0.0003368,0.0003368,0.0003368
86,1185.26,1.11629,0.6397,0.93129,0.98638,0.82315,0.94265,0.5627,1.35397,0.65053,1.0501,0.000317,0.000317,0.000317
87,1198.51,1.04832,0.60691,0.93542,0.89462,0.875,0.92731,0.57177,1.34474,0.6651,1.04855,0.0002972,0.0002972,0.0002972
88,1211.82,1.06748,0.60872,0.93185,0.93669,0.84058,0.9335,0.58892,1.30267,0.63733,1.02516,0.0002774,0.0002774,0.0002774
89,1224.89,1.04564,0.59655,0.927,0.91991,0.86364,0.92996,0.57515,1.31046,0.63402,1.0321,0.0002576,0.0002576,0.0002576
90,1238.19,1.04333,0.58796,0.92016,0.88266,0.89773,0.94034,0.57472,1.33131,0.66669,1.04945,0.0002378,0.0002378,0.0002378
91,1283.37,0.9022,0.46514,0.89657,0.89584,0.88636,0.92915,0.58285,1.30504,0.66612,1.02919,0.000218,0.000218,0.000218
92,1296.42,0.91956,0.44887,0.88781,0.8942,0.86364,0.93215,0.60736,1.23178,0.64786,0.9986,0.0001982,0.0001982,0.0001982
93,1309.6,0.88148,0.43961,0.88262,0.89796,0.86364,0.92871,0.61489,1.23387,0.66045,1.00897,0.0001784,0.0001784,0.0001784
94,1322.26,0.86568,0.42786,0.88395,0.89566,0.87799,0.9284,0.60032,1.23632,0.66238,0.99965,0.0001586,0.0001586,0.0001586
95,1334.97,0.88855,0.4366,0.89365,0.89509,0.875,0.92896,0.58956,1.25778,0.66694,1.00984,0.0001388,0.0001388,0.0001388
96,1347.59,0.84276,0.41992,0.87624,0.90585,0.8747,0.9277,0.60174,1.24208,0.65062,0.99778,0.000119,0.000119,0.000119
97,1359.95,0.84236,0.42274,0.87562,0.90068,0.875,0.93107,0.58897,1.25751,0.64724,1.00554,9.92e-05,9.92e-05,9.92e-05
98,1372.45,0.87943,0.42813,0.88336,0.88389,0.875,0.92899,0.58811,1.24933,0.64315,0.99935,7.94e-05,7.94e-05,7.94e-05
99,1385.2,0.86911,0.42562,0.88238,0.87622,0.88485,0.92614,0.59825,1.21805,0.65083,0.98747,5.96e-05,5.96e-05,5.96e-05
100,1397.54,0.84679,0.41279,0.87322,0.8837,0.86347,0.9168,0.59149,1.22932,0.65003,0.98829,3.98e-05,3.98e-05,3.98e-05
