epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,273.984,1.33285,1.23701,1.5511,0.67023,0.5082,0.59115,0.27446,1.93841,1.72013,1.73408,0.0011882,0.0011882,0.0011882
43,279.054,1.2777,1.13931,1.49806,0.5748,0.7757,0.7162,0.4205,1.57645,1.2761,1.53037,0.0011684,0.0011684,0.0011684
44,284.35,1.31983,1.17879,1.5341,0.70594,0.81967,0.80941,0.46497,1.54974,1.18305,1.5104,0.0011486,0.0011486,0.0011486
45,289.227,1.30142,1.18659,1.5081,0.68546,0.78597,0.69318,0.36251,1.74135,1.41616,1.63429,0.0011288,0.0011288,0.0011288
46,294.047,1.27276,1.16924,1.50337,0.69942,0.72481,0.72677,0.41699,1.71102,1.28346,1.58405,0.001109,0.001109,0.001109
47,298.984,1.25156,1.13889,1.48233,0.70456,0.7541,0.72609,0.40868,1.72403,1.31899,1.63161,0.0010892,0.0010892,0.0010892
48,303.952,1.29792,1.15397,1.51345,0.79086,0.74397,0.78606,0.39113,1.85859,1.19522,1.76413,0.0010694,0.0010694,0.0010694
49,308.936,1.25068,1.09833,1.47323,0.81329,0.78689,0.82379,0.42683,1.69598,1.09372,1.60878,0.0010496,0.0010496,0.0010496
50,314.768,1.27132,1.12085,1.4827,0.7797,0.75428,0.79148,0.52948,1.25513,1.09557,1.36995,0.0010298,0.0010298,0.0010298
51,322.282,1.24528,1.11761,1.46061,0.83172,0.72931,0.78131,0.38299,1.85359,1.1997,1.65777,0.00101,0.00101,0.00101
52,329.867,1.27359,1.14908,1.48809,0.69316,0.74071,0.74448,0.45727,1.5261,1.22341,1.50877,0.0009902,0.0009902,0.0009902
53,337.757,1.27436,1.13946,1.49526,0.65157,0.83607,0.72618,0.40678,1.63116,1.24412,1.52083,0.0009704,0.0009704,0.0009704
54,345.643,1.28061,1.1936,1.51065,0.78289,0.70492,0.76307,0.49416,1.37362,1.12705,1.40842,0.0009506,0.0009506,0.0009506
55,353.306,1.24379,1.11516,1.45672,0.71754,0.70492,0.73073,0.44891,1.45756,1.20206,1.41666,0.0009308,0.0009308,0.0009308
56,362.202,1.25655,1.09292,1.48641,0.71075,0.78689,0.78674,0.45976,1.57083,1.07269,1.49929,0.000911,0.000911,0.000911
57,370.806,1.29965,1.14763,1.5337,0.76289,0.73844,0.78097,0.46893,1.50638,1.11998,1.48666,0.0008912,0.0008912,0.0008912
58,378.709,1.2606,1.12875,1.49339,0.7304,0.72131,0.75407,0.4503,1.5168,1.1618,1.47203,0.0008714,0.0008714,0.0008714
59,386.274,1.23541,1.06916,1.4669,0.72377,0.78689,0.72747,0.47741,1.33771,1.10433,1.34669,0.0008516,0.0008516,0.0008516
60,394.355,1.2496,1.10178,1.47693,0.73478,0.81752,0.79259,0.49955,1.50268,1.0898,1.44165,0.0008318,0.0008318,0.0008318
61,399.714,1.22646,1.04791,1.45328,0.85444,0.77049,0.82889,0.48045,1.59483,1.10216,1.48956,0.000812,0.000812,0.000812
62,406.965,1.23438,1.05454,1.46092,0.82672,0.7541,0.80593,0.34331,2.03771,1.23446,1.77685,0.0007922,0.0007922,0.0007922
63,414.882,1.20985,1.04921,1.44162,0.81233,0.70965,0.80375,0.5049,1.36124,1.10737,1.3725,0.0007724,0.0007724,0.0007724
